name,fc,log2fc,padj,log10p,colour,label
PC 36:2,0.27375,-1.8691,0.00000557,2.0419,Downregulated,PC 36:2
SE 27:1/18:2,1.1883,0.24889,0.0000490,1.9951,Not_significant,
PC 36:5,0.88309,-0.17937,0.00016369,1.993,Not_significant,
PE 38:2,2.3416,1.2275,0.93234,1.972,Not_significant,
TG O-50:2,2.3416,1.2275,0.011846,1.972,Upregulated,TG O-50:2
DG 36:4,5.5857,2.4817,0.075062,1.9253,Not_significant,
PC 34:2,0.69656,-0.52169,0.0000000325,1.909,Not_significant,
LPC O-16:0,0.65733,-0.6053,0.012634,1.8984,Downregulated,LPC O-16:0
SM 42:1;O2,0.65733,-0.6053,0.00000195,1.8984,Downregulated,SM 42:1;O2
PC 37:6,2.5045,1.3245,0.0024404,1.8975,Upregulated,PC 37:6
PE O-16:1_18:2,14.258,3.8337,0.0000780,1.8875,Upregulated,PE O-16:1_18:2
LPA 20:4,14.258,3.8337,0.97745,1.8875,Not_significant,
LPC O-18:1,0.44838,-1.1572,0.014551,1.8371,Downregulated,LPC O-18:1
SM 43:1;O2,0.44838,-1.1572,0.0000923,1.8371,Downregulated,SM 43:1;O2
LPE 22:4,0.68118,-0.55388,0.69094,1.8152,Not_significant,
TG 52:1,0.68118,-0.55388,0.00033765,1.8152,Not_significant,
PE 36:3,5.772,2.5291,0.11806,1.8149,Not_significant,
TG 60:12,5.772,2.5291,0.30426,1.8149,Not_significant,
LPE 20:5,1.1957,0.25782,0.83596,1.8,Not_significant,
TG 51:2,1.1957,0.25782,0.00017985,1.8,Not_significant,
LPE O-18:1,1.7315,0.792,0.015303,1.7822,Upregulated,LPE O-18:1
TG 54:1,1.7315,0.792,0.37624,1.7822,Not_significant,
DG 34:1,0.88424,-0.17749,0.00000263,1.6421,Not_significant,
LPE 18:3,1.1247,0.1696,0.70116,1.6337,Not_significant,
TG 48:4,1.1247,0.1696,0.007822,1.6337,Not_significant,
LPI 18:0,1.9035,0.92868,0.024952,1.6337,Upregulated,LPI 18:0
TG 55:6,1.9035,0.92868,0.00040828,1.6337,Upregulated,TG 55:6
LPC 18:1,1.3227,0.40351,0.022798,1.6032,Not_significant,
LPE 22:5,1.6038,0.68153,0.00078844,1.6029,Upregulated,LPE 22:5
TG 52:3,1.6038,0.68153,0.00000611,1.6029,Upregulated,TG 52:3
PE O-18:1_18:2,1.6324,0.70696,0.0058424,1.6027,Upregulated,PE O-18:1_18:2
1-AG,1.6324,0.70696,0.75622,1.6027,Not_significant,
Hex2Cer 18:1;O2/24:1,1.379,0.46364,0.76438,1.5804,Not_significant,
PC 32:2,1.108,0.14799,0.00000434,1.5759,Not_significant,
LPI 20:4,1.3799,0.46456,0.016513,1.5176,Not_significant,
TG 56:8,1.3799,0.46456,0.0010589,1.5176,Not_significant,
PE O-18:1_20:4,9.9417,3.3135,0.1949,1.5005,Not_significant,
2-AG,9.9417,3.3135,0.0000505,1.5005,Upregulated,2-AG
PI 40:5,1.1444,0.1946,0.000000346,1.4836,Not_significant,
Hex2Cer 18:1;O2/24:1.1,1.1444,0.1946,0.30451,1.4836,Not_significant,
PC 34:5,0.5601,-0.83625,0.88709,1.4816,Not_significant,
PC O-16:1_16:0,0.86936,-0.20197,0.0000263,1.4816,Not_significant,
LPI 18:2,1.1572,0.21061,0.044173,1.4667,Not_significant,
TG 56:3,1.1572,0.21061,0.12088,1.4667,Not_significant,
LPE 22:6,1.6899,0.75693,0.015847,1.3825,Upregulated,LPE 22:6
TG 52:5,1.6899,0.75693,0.00010449,1.3825,Upregulated,TG 52:5
PC 39:5,1.7065,0.77108,0.00038108,1.3778,Upregulated,PC 39:5
PC O-18:1_20:4,1.143,0.1928,0.0000000190,1.3778,Not_significant,
PI 40:6,4.923,2.2995,0.00000117,1.3621,Upregulated,PI 40:6
LPE O-16:1,4.9347,2.303,0.03187,1.3548,Upregulated,LPE O-16:1
TG 53:2,4.9347,2.303,0.041897,1.3548,Upregulated,TG 53:2
SE 27:1/20:3,1.0998,0.13724,0.0018489,1.3548,Not_significant,
FA 18:2,0.75198,-0.41124,0.046404,1.3334,Not_significant,
SM 40:0;O2,0.75198,-0.41124,0.00020528,1.3334,Not_significant,
PE O-18:1_18:1,1.5896,0.66867,0.010667,1.3097,Upregulated,PE O-18:1_18:1
EPEA,1.5896,0.66867,0.27401,1.3097,Not_significant,
PC 35:3,0.80248,-0.31746,0.00032706,1.249,Not_significant,
Cer 18:1;O2/24:0,8.4871,3.0853,0.075062,1.2436,Not_significant,
PC 37:4,2.4707,1.3049,0.0051349,1.2208,Upregulated,PC 37:4
PE 40:7,1.4263,0.51227,0.015314,1.1859,Not_significant,
LPA 18:1,1.4263,0.51227,0.032989,1.1859,Not_significant,
SE 27:1/20:2,0.96455,-0.052073,0.39554,1.1482,Not_significant,
PC 32:0,1.373,0.45729,0.011878,1.1379,Not_significant,
PC O-16:1_20:4,1.1072,0.14691,0.000000151,1.1379,Not_significant,
CAR 14:1,1.2455,0.31667,0.33002,1.1246,Not_significant,
PI 38:6,1.1067,0.14626,0.00032706,1.1246,Not_significant,
Hex2Cer 18:1;O2/24:0.1,1.1067,0.14626,0.70732,1.1246,Not_significant,
SE 27:1/18:1,1.1057,0.14496,0.0027925,1.0874,Not_significant,
PE O-16:1_20:4,2.388,1.2558,0.0000490,1.0816,Upregulated,PE O-16:1_20:4
AEA,2.388,1.2558,0.072794,1.0816,Not_significant,
SE 27:1/18:3,1.046,0.064867,0.072794,1.0758,Not_significant,
PE 40:6,1.1412,0.19052,0.0000474,1.057,Not_significant,
LPA 18:0,1.1412,0.19052,0.39764,1.057,Not_significant,
PC O-40:7,1.1098,0.15032,0.00000000000131,1.0316,Not_significant,
PC 34:0,1.3499,0.43285,0.55584,0.99881,Not_significant,
FA 18:1,0.87494,-0.19275,0.10315,0.98652,Not_significant,
SM 39:2;O2,0.87494,-0.19275,0.0002621,0.98652,Not_significant,
SE 27:1/20:4,1.0823,0.11416,0.02655,0.94698,Not_significant,
LPI 20:3,1.3806,0.46534,0.0013928,0.92791,Not_significant,
TG 56:6,1.3806,0.46534,0.00000263,0.92791,Not_significant,
PC 40:8,2.0837,1.0591,0.0058559,0.91763,Upregulated,PC 40:8
PC 34:3,0.95281,-0.069733,0.0000154,0.88999,Not_significant,
LPE O-18:2,0.77701,-0.364,0.1274,0.88536,Not_significant,
TG 54:4,0.77701,-0.364,0.00011764,0.88536,Not_significant,
FA 20:4,0.70993,-0.49426,0.16147,0.7919,Not_significant,
SM 40:3;O2,0.70993,-0.49426,0.0090812,0.7919,Not_significant,
SM 36:1;O2,1.0422,0.059672,0.67301,0.79087,Not_significant,
HexCer 18:1;O2/22:0,1.2116,0.27691,0.34773,0.75815,Not_significant,
FA 22:6,0.79428,-0.33228,0.19216,0.71634,Not_significant,
SM 41:1;O2,0.79428,-0.33228,0.00000704,0.71634,Not_significant,
PE 38:6,1.0782,0.10864,0.004375,0.7102,Not_significant,
TG O-52:3,1.0782,0.10864,0.098794,0.7102,Not_significant,
FA 18:3,0.55005,-0.86235,0.20579,0.68658,Not_significant,
SM 40:2;O2,0.55005,-0.86235,0.00000806,0.68658,Downregulated,SM 40:2;O2
PI 36:1,3.5004,1.8075,0.0004856,0.6472,Upregulated,PI 36:1
Cer 18:1;O2/24:1.1,3.5004,1.8075,0.00047673,0.6472,Upregulated,Cer 18:1;O2/24:1.1
PI 36:4,2.13,1.0909,0.00000195,0.57686,Upregulated,PI 36:4
HexCer 18:1;O2/24:1.1,2.13,1.0909,0.39584,0.57686,Not_significant,
PI 36:5,1.686,0.75362,0.007822,0.5697,Upregulated,PI 36:5
Hex2Cer 18:1;O2/16:0.1,1.686,0.75362,0.16186,0.5697,Not_significant,
PC O-18:0_20:4,1.0584,0.081904,0.004221,0.56223,Not_significant,
SM 32:0;O2,1.0528,0.074266,0.16127,0.55468,Not_significant,
SM 34:2;O2,1.0286,0.040714,0.88368,0.53747,Not_significant,
SM 39:1;O2,1.0374,0.053023,0.0000128,0.5164,Not_significant,
SM 34:1;O2,1.0163,0.023386,0.12883,0.49277,Not_significant,
PE 34:1,1.0505,0.071011,0.023244,0.48335,Not_significant,
TG 58:5,1.0505,0.071011,0.011493,0.48335,Not_significant,
PI 38:5,1.1065,0.14597,0.0000136,0.47456,Not_significant,
Hex2Cer 18:1;O2/18:1,1.1065,0.14597,0.007822,0.47456,Not_significant,
PI 36:2,4.1789,2.0631,0.000000511,0.46674,Upregulated,PI 36:2
HexCer 18:1;O2/16:0,4.1789,2.0631,0.32154,0.46674,Not_significant,
Cer 18:1;O2/21:0,0.9017,-0.14929,0.6311,0.45875,Not_significant,
PC 33:2,1.2292,0.29771,0.0081038,0.42857,Not_significant,
PC 39:6,1.3686,0.45267,0.021237,0.42453,Not_significant,
SM 35:1;O2,1.0287,0.040849,0.032989,0.40248,Not_significant,
PC O-16:0_20:4,0.94086,-0.087945,0.0000000301,0.40051,Not_significant,
Cer 18:1;O2/18:0,1.051,0.071701,0.26493,0.38458,Not_significant,
Cer 18:0;O2/24:1,1.2065,0.27087,0.3414,0.37721,Not_significant,
PC 35:2,1.0632,0.088357,0.026279,0.36556,Not_significant,
Cer 18:2;O2/24:1,0.95053,-0.073191,0.77238,0.35192,Not_significant,
Hex2NeuAcCer 34:1;O2,5.3848,2.4289,0.13021,0.32591,Not_significant,
TG 58:11,5.3848,2.4289,0.59922,0.32591,Not_significant,
LPC O-18:2,0.95659,-0.06402,0.0037059,0.22773,Not_significant,
SM 43:2;O2,0.95659,-0.06402,0.00020661,0.22773,Not_significant,
