name,fc,log2fc,padj,log10p
PI 40:5,1.1444,0.1946,3.46E-07,1.4836
Hex2Cer 18:1;O2/24:1.1,1.1444,0.1946,0.30451,1.4836
PC 34:5,0.5601,-0.83625,0.88709,1.4816
PC O-16:1_16:0,0.86936,-0.20197,2.63E-05,1.4816
LPI 18:2,1.1572,0.21061,0.044173,1.4667
TG 56:3,1.1572,0.21061,0.12088,1.4667
LPE 22:6,1.6899,0.75693,0.015847,1.3825
TG 52:5,1.6899,0.75693,0.00010449,1.3825
PC 39:5,1.7065,0.77108,0.00038108,1.3778
PC O-18:1_20:4,1.143,0.1928,1.90E-08,1.3778
PI 40:6,4.923,2.2995,1.17E-06,1.3621
LPE O-16:1,4.9347,2.303,0.03187,1.3548
TG 53:2,4.9347,2.303,0.041897,1.3548
SE 27:1/20:3,1.0998,0.13724,0.0018489,1.3548
FA 18:2,0.75198,-0.41124,0.046404,1.3334
SM 40:0;O2,0.75198,-0.41124,0.00020528,1.3334
PE O-18:1_18:1,1.5896,0.66867,0.010667,1.3097
EPEA,1.5896,0.66867,0.27401,1.3097
PC 35:3,0.80248,-0.31746,0.00032706,1.249
Cer 18:1;O2/24:0,8.4871,3.0853,0.075062,1.2436
PC 37:4,2.4707,1.3049,0.0051349,1.2208
PE 40:7,1.4263,0.51227,0.015314,1.1859
LPA 18:1,1.4263,0.51227,0.032989,1.1859
SE 27:1/20:2,0.96455,-0.052073,0.39554,1.1482
PC 32:0,1.373,0.45729,0.011878,1.1379
PC O-16:1_20:4,1.1072,0.14691,1.51E-07,1.1379
CAR 14:1,1.2455,0.31667,0.33002,1.1246
PI 38:6,1.1067,0.14626,0.00032706,1.1246
Hex2Cer 18:1;O2/24:0.1,1.1067,0.14626,0.70732,1.1246
SE 27:1/18:1,1.1057,0.14496,0.0027925,1.0874
PE O-16:1_20:4,2.388,1.2558,4.90E-05,1.0816
AEA,2.388,1.2558,0.072794,1.0816
SE 27:1/18:3,1.046,0.064867,0.072794,1.0758
PE 40:6,1.1412,0.19052,4.74E-05,1.057
LPA 18:0,1.1412,0.19052,0.39764,1.057
PC O-40:7,1.1098,0.15032,1.31E-12,1.0316
PC 34:0,1.3499,0.43285,0.55584,0.99881
FA 18:1,0.87494,-0.19275,0.10315,0.98652
SM 39:2;O2,0.87494,-0.19275,0.0002621,0.98652
SE 27:1/20:4,1.0823,0.11416,0.02655,0.94698
LPI 20:3,1.3806,0.46534,0.0013928,0.92791
TG 56:6,1.3806,0.46534,2.63E-06,0.92791
PC 40:8,2.0837,1.0591,0.0058559,0.91763
PC 34:3,0.95281,-0.069733,1.54E-05,0.88999
LPE O-18:2,0.77701,-0.364,0.1274,0.88536
TG 54:4,0.77701,-0.364,0.00011764,0.88536
FA 20:4,0.70993,-0.49426,0.16147,0.7919
SM 40:3;O2,0.70993,-0.49426,0.0090812,0.7919
SM 36:1;O2,1.0422,0.059672,0.67301,0.79087
HexCer 18:1;O2/22:0,1.2116,0.27691,0.34773,0.75815
FA 22:6,0.79428,-0.33228,0.19216,0.71634
SM 41:1;O2,0.79428,-0.33228,7.04E-06,0.71634
PE 38:6,1.0782,0.10864,0.004375,0.7102
TG O-52:3,1.0782,0.10864,0.098794,0.7102
FA 18:3,0.55005,-0.86235,0.20579,0.68658
SM 40:2;O2,0.55005,-0.86235,8.06E-06,0.68658
PI 36:1,3.5004,1.8075,0.0004856,0.6472
Cer 18:1;O2/24:1.1,3.5004,1.8075,0.00047673,0.6472
PI 36:4,2.13,1.0909,1.95E-06,0.57686
HexCer 18:1;O2/24:1.1,2.13,1.0909,0.39584,0.57686
PI 36:5,1.686,0.75362,0.007822,0.5697
Hex2Cer 18:1;O2/16:0.1,1.686,0.75362,0.16186,0.5697
PC O-18:0_20:4,1.0584,0.081904,0.004221,0.56223
SM 32:0;O2,1.0528,0.074266,0.16127,0.55468
SM 34:2;O2,1.0286,0.040714,0.88368,0.53747
SM 39:1;O2,1.0374,0.053023,1.28E-05,0.5164
SM 34:1;O2,1.0163,0.023386,0.12883,0.49277
PE 34:1,1.0505,0.071011,0.023244,0.48335
TG 58:5,1.0505,0.071011,0.011493,0.48335
PI 38:5,1.1065,0.14597,1.36E-05,0.47456
Hex2Cer 18:1;O2/18:1,1.1065,0.14597,0.007822,0.47456
PI 36:2,4.1789,2.0631,5.11E-07,0.46674
HexCer 18:1;O2/16:0,4.1789,2.0631,0.32154,0.46674
Cer 18:1;O2/21:0,0.9017,-0.14929,0.6311,0.45875
PC 33:2,1.2292,0.29771,0.0081038,0.42857
PC 39:6,1.3686,0.45267,0.021237,0.42453
SM 35:1;O2,1.0287,0.040849,0.032989,0.40248
PC O-16:0_20:4,0.94086,-0.087945,3.01E-08,0.40051
Cer 18:1;O2/18:0,1.051,0.071701,0.26493,0.38458
Cer 18:0;O2/24:1,1.2065,0.27087,0.3414,0.37721
PC 35:2,1.0632,0.088357,0.026279,0.36556
Cer 18:2;O2/24:1,0.95053,-0.073191,0.77238,0.35192
Hex2NeuAcCer 34:1;O2,5.3848,2.4289,0.13021,0.32591
TG 58:11,5.3848,2.4289,0.59922,0.32591
LPC O-18:2,0.95659,-0.06402,0.0037059,0.22773
SM 43:2;O2,0.95659,-0.06402,0.00020661,0.22773
PC O-16:1_18:1,0.9674,-0.047819,2.11E-05,0.20515
PI 37:4,20.159,4.3334,1.08E-08,0.1999
Hex2Cer 18:1;O2/18:0,20.159,4.3334,0.77715,0.1999
Cer 18:1;O2/22:0,0.95679,-0.063726,0.33531,0.17532
PC 35:1,0.97958,-0.029771,0.096414,0.17198
Cer 18:0;O2/24:0,1.1899,0.25083,0.22532,0.16056
LPE 18:1,11.406,3.5117,0.88568,0.15418
TG 44:1,11.406,3.5117,0.060147,0.15418
SM 38:2;O2,1.0181,0.025942,0.056362,0.15038
PC O-18:1_18:1,1.0172,0.024616,0.0067278,0.12135
Cer 18:1;O2/16:0,0.92851,-0.10701,0.00040629,0.11709
Cer 18:1;O2/20:0,1.0124,0.017834,0.26934,0.11669
ST 19:2;O2;S,1.3153,0.39534,3.57E-05,0.11217
SM 36:2;O2,0.98863,-0.016499,0.43096,0.1095
Cer 18:1;O2/26:0,1.0071,0.010229,0.043438,0.096727
LPE 20:3,0.61826,-0.69371,0.0051651,0.077814
TG 49:3,0.61826,-0.69371,0.0010589,0.077814
PC 34:4,0.99471,-0.0076452,0.00070889,0.053705
LPE 16:0,1.009,0.012897,0.59194,0.052721
SM 44:3;O2,1.009,0.012897,1.34E-05,0.052721
LPE 17:0,0.99775,-0.0032447,0.027462,0.012265
TG 42:2,0.99775,-0.0032447,0.4483,0.012265
PC O-16:1_18:2,1.0028,0.0039873,0.00082203,0.0099045
PI 34:2,1.02,0.028611,1.04E-06,0.0078847
Cer 18:1;O2/24:0.1,1.02,0.028611,0.0005999,0.0078847
